Pairwise comparison,Experiment,Study,Species A,Species B,Species pair,AinA mean,AinA_mean_reestimate,AinA se,AinA_se_reestimate,AinA N,AinB mean,AinB_mean_reestimate,AinB se,AinB N,AinB_se_reestimate,BinB mean,BinB_mean_reestimate,BinB se,BinB N,BinB_se_reestimate,BinA mean,BinA_mean_reestimate,BinA se,BinA N,BinA_se_reestimate
1,1,1,anthoxanthum_odoratum,danthonia_spicata,anthoxanthum_odoratum_danthonia_spicata,2.429,2.40458015267176,0.135,0.12595419847328,9,2.581,2.56488549618321,0.179,6,0.16030534351145,1.066,1.05343511450382,0.162,8,0.183206106870229,1.862,1.86641221374046,0.157,6,0.14885496183206
2,1,1,anthoxanthum_odoratum,panicum_sphaerocarpon,anthoxanthum_odoratum_panicum_sphaerocarpon,2.429,2.40458015267176,0.135,0.12595419847328,9,2.537,2.54198473282443,0.162,6,0.16030534351145,2.142,2.1412213740458,0.168,9,0.14885496183206,2.629,2.61068702290076,0.186,6,0.16030534351145
3,1,1,danthonia_spicata,panicum_sphaerocarpon,danthonia_spicata_panicum_sphaerocarpon,1.066,1.05343511450382,0.162,0.170641221374046,8,0.882,0.870229007633588,0.168,6,0.171755725190842,2.142,2.1412213740458,0.168,9,0.14885496183206,2.137,2.1412213740458,0.168,6,0.16030534351145
4,2,1,anthoxanthum_odoratum,danthonia_spicata,anthoxanthum_odoratum_danthonia_spicata,2.659,,0.128,,9,2.755,,0.165,6,,1.481,,0.149,9,,1.806,,0.304,6,
5,2,1,anthoxanthum_odoratum,panicum_sphaerocarpon,anthoxanthum_odoratum_panicum_sphaerocarpon,2.659,,0.128,,9,2.409,,0.176,6,,1.945,,0.165,9,,2.638,,0.208,6,
6,2,1,danthonia_spicata,panicum_sphaerocarpon,danthonia_spicata_panicum_sphaerocarpon,1.481,,0.149,,9,1.753,,0.202,6,,1.945,,0.165,9,,2.19,,0.165,6,
7,3,6,fragaria_chiloensis,fragaria_vesca,fragaria_chiloensis_fragaria_vesca,1.433,,0.1149012,,7,1.443,,0.196163561,7,,0.853,,0.068033605,7,,1.022,,0.075660426,8,
8,3,6,rumex_occidentalis,rumex_salicifolius,rumex_occidentalis_rumex_salicifolius,0.313,,0.03853732,,8,0.251,,0.051618795,8,,0.179,,0.122329473,2,,0.163,,0.043133514,8,
9,3,6,trifolium_barbigerum,trifolium_macraei,trifolium_barbigerum_trifolium_macraei,0.448,,0.206691396,,3,0.547,,0.167257885,5,,0.813,,0.12410748,6,,1.101,,0.315575929,6,
16,5,8,carex_pensylvanica,danthonia_spicata,carex_pensylvanica_danthonia_spicata,0.272,0.281645569620253,0.047,0.04746835443038,10,0.342,0.35126582278481,0.033,10,0.031645569620253,0.073,0.075949367088608,0.017,10,0.018987341772152,0.337,0.338607594936709,0.117,10,0.120253164556962
17,5,8,carex_pensylvanica,pilosella_piloselloides,carex_pensylvanica_pilosella_piloselloides,0.272,0.281645569620253,0.047,0.04746835443038,10,0.311,0.319620253164557,0.027,10,0.028481012658228,0.396,0.408227848101266,0.117,10,0.110759493670886,0.581,0.594936708860759,0.091,10,0.088607594936709
18,5,8,danthonia_spicata,pilosella_piloselloides,danthonia_spicata_pilosella_piloselloides,0.073,0.075949367088608,0.017,0.018987341772152,10,0.275,0.284810126582278,0.056,10,0.050632911392405,0.396,0.408227848101266,0.117,10,0.110759493670886,0.434,0.439873417721519,0.089,10,0.085443037974683
19,6,10,bromus_inermis,agropyron_cristatum,agropyron_cristatum_bromus_inermis,0.029,0.029834254143647,0.003,0.003038674033149,32,0.024,0.023901098901099,0.003,32,0.002747252747253,0.012,0.011813186813187,0.002,32,0.001373626373626,0.009,0.009562841530055,0.002,32,0.001639344262295
20,6,10,euphorbia_esula,agropyron_cristatum,agropyron_cristatum_euphorbia_esula,0.013,0.012956043956044,0.003,0.00356043956044,32,0.008,0.008154696132597,0.002,32,0.002486187845304,0.012,0.011813186813187,0.002,32,0.001373626373626,0.005,0.004419889502762,0.002,32,0.001933701657459
21,6,10,euphorbia_esula,bromus_inermis,bromus_inermis_euphorbia_esula,0.013,0.012956043956044,0.003,0.00356043956044,32,0.013,0.012758241758242,0.003,32,0.00267032967033,0.029,0.029834254143647,0.003,32,0.003038674033149,0.015,0.014207650273224,0.003,32,0.003551912568306
22,7,19,panicum_maximum,chromolaena_odorata,chromolaena_odorata_panicum_maximum,7.889,,0.224,,6,10.414,,0.307,6,,4.675,,0.32,6,,4.658,,0.649,6,
23,8,21,euonymus_fortunei,asarum_canadense,asarum_canadense_euonymus_fortunei,81.781,,13.117,,7,33.32,,9.838,7,,62.105,,8.745,7,,59.919,,6.923,7,
24,9,22,andropogon_gerardii,asclepias_tuberosa,andropogon_gerardii_asclepias_tuberosa,2.562,,0.07755102,,12,2.714,,0.07755102,12,,2.489,,0.078061224,12,,2.501,,0.078061224,12,
25,9,22,andropogon_gerardii,ratibida_pinnata,andropogon_gerardii_ratibida_pinnata,2.562,,0.07755102,,12,2.784,,0.081632653,12,,2.452,,0.075510204,12,,2.452,,0.07755102,12,
26,9,22,andropogon_gerardii,rudbeckia_hirta,andropogon_gerardii_rudbeckia_hirta,2.562,,0.07755102,,12,2.932,,0.087755102,12,,2.587,,0.078061224,12,,2.418,,0.076020408,12,
27,9,22,andropogon_gerardii,sorghastrum_nutans,andropogon_gerardii_sorghastrum_nutans,2.562,,0.07755102,,12,2.643,,0.07755102,12,,2.739,,0.083673469,12,,2.798,,0.076020408,12,
28,9,22,asclepias_tuberosa,ratibida_pinnata,asclepias_tuberosa_ratibida_pinnata,2.489,,0.078061224,,12,2.504,,0.071938776,12,,2.452,,0.075510204,12,,2.562,,0.073469388,12,
29,9,22,asclepias_tuberosa,sorghastrum_nutans,asclepias_tuberosa_sorghastrum_nutans,2.489,,0.078061224,,12,2.481,,0.076020408,12,,2.739,,0.083673469,12,,2.778,,0.076020408,12,
30,9,22,rudbeckia_hirta,asclepias_tuberosa,asclepias_tuberosa_rudbeckia_hirta,2.587,,0.078061224,,12,2.583,,0.078061224,12,,2.489,,0.078061224,12,,2.591,,0.076020408,12,
31,9,22,rudbeckia_hirta,ratibida_pinnata,ratibida_pinnata_rudbeckia_hirta,2.587,,0.078061224,,12,2.626,,0.078061224,12,,2.452,,0.075510204,12,,2.562,,0.079591837,12,
32,9,22,rudbeckia_hirta,sorghastrum_nutans,rudbeckia_hirta_sorghastrum_nutans,2.587,,0.078061224,,12,2.79,,0.083673469,12,,2.739,,0.083673469,12,,2.915,,0.081632653,12,
33,9,22,sorghastrum_nutans,ratibida_pinnata,ratibida_pinnata_sorghastrum_nutans,2.739,,0.083673469,,12,2.798,,0.073979592,12,,2.452,,0.075510204,12,,2.686,,0.081632653,12,
34,10,22,andropogon_gerardii,asclepias_tuberosa,andropogon_gerardii_asclepias_tuberosa,3.076,,0.083673469,,12,2.952,,0.079591837,12,,2.407,,0.076020408,12,,2.438,,0.079591837,12,
35,10,22,andropogon_gerardii,ratibida_pinnata,andropogon_gerardii_ratibida_pinnata,3.076,,0.083673469,,12,3.115,,0.091326531,12,,2.698,,0.087755102,12,,2.593,,0.075510204,12,
36,10,22,andropogon_gerardii,rudbeckia_hirta,andropogon_gerardii_rudbeckia_hirta,3.076,,0.083673469,,12,2.948,,0.09744898,12,,2.927,,0.085714286,12,,2.825,,0.079591837,12,
37,10,22,andropogon_gerardii,sorghastrum_nutans,andropogon_gerardii_sorghastrum_nutans,3.076,,0.083673469,,12,3.045,,0.075510204,12,,3.052,,0.076020408,12,,2.958,,0.078061224,12,
38,10,22,asclepias_tuberosa,ratibida_pinnata,asclepias_tuberosa_ratibida_pinnata,2.407,,0.076020408,,12,2.469,,0.079591837,12,,2.698,,0.087755102,12,,2.562,,0.081632653,12,
39,10,22,asclepias_tuberosa,sorghastrum_nutans,asclepias_tuberosa_sorghastrum_nutans,2.407,,0.076020408,,12,2.547,,0.079591837,12,,3.052,,0.076020408,12,,3.013,,0.079591837,12,
40,10,22,rudbeckia_hirta,asclepias_tuberosa,asclepias_tuberosa_rudbeckia_hirta,2.927,,0.085714286,,12,2.778,,0.076020408,12,,2.407,,0.076020408,12,,2.43,,0.091836735,12,
41,10,22,rudbeckia_hirta,ratibida_pinnata,ratibida_pinnata_rudbeckia_hirta,2.927,,0.085714286,,12,2.7,,0.079591837,12,,2.698,,0.087755102,12,,2.577,,0.079591837,12,
42,10,22,rudbeckia_hirta,sorghastrum_nutans,rudbeckia_hirta_sorghastrum_nutans,2.927,,0.085714286,,12,2.735,,0.073979592,12,,3.052,,0.076020408,12,,3.052,,0.078061224,12,
43,10,22,sorghastrum_nutans,ratibida_pinnata,ratibida_pinnata_sorghastrum_nutans,3.052,,0.076020408,,12,3.247,,0.073979592,12,,2.698,,0.087755102,12,,2.589,,0.075510204,12,
44,11,31,aegilops_triuncialis,agropyron_cristatum,aegilops_triuncialis_agropyron_cristatum,0.030042918,,0.014270386,,5,0.055,,0.012,5,,0.062,,0.0155,5,,0.020600858,,0.00332618,5,
