Reference source,Study,Full Reference
Crawford et al. 2019,1,"Bever, J. D. (1994) Feedback between plants and their soil communities in an old field community. Ecology 75(7) 1965-1977"
Crawford et al. 2019,6,"Burns, J. H. and S. Y. Strauss. (2012) Effects of competition on phylogenetic signal and phenotypic plasticity in plant functional traits. Ecology 93(8) 126-137"
Crawford et al. 2019,8,"Farrer, E. C. and D. E. Goldberg. (2011) Patterns and mechanisms of conspecific and heterospecific interactions in a dry perennial grassland. Journal of Ecology 99(1) 265-276"
Crawford et al. 2019,10,"Jordan, N. R., D. L. Larson, and S. C. Huerd. (2008) Soil modification by invasive plants: effects on native and invasive species of mixed-grass prairies. Biological Invasions 10(2) 177-190"
Crawford et al. 2019,19,"te Beest, M., N. Stevens, H. Olff, and W. H. van der Putten. (2009) Plant-soil feedback induces shifts in biomass allocation in the invasive plant Chromolaena odorata. Journal of Ecology 97(6) 1281-1290"
Crawford et al. 2019,34,"Bonanomi, G., and S. Mazzoleni. (2005) Soil history affects plant growth and competitive ability in herbaceous species. Community Ecology 6(1) 23-28"
Crawford et al. 2019,38,"McCarthy-Neumann, S., and R. K. Kobe. (2010) Conspecific plant-soil feedbacks reduce survivorship and growth of tropical tree seedlings. Journal of Ecology 98(2) 396-407"
Crawford et al. 2019,39,"van Grunsven, R. H. A., W. H. van der Putten, T. M. Bezemer, W. L. M. Tamis, F. Berendse, and E. M. Veenendaal. (2007) Reduced plant-soil feedback of plant species expanding their range as compared to natives. Journal of Ecology 95(5) 1050-1057"
Crawford et al. 2019,41,"McCarthy-Neumann, S., and R. K. Kobe. (2010) Conspecific and heterospecific plant-soil feedbacks influence survivorship and growth of temperate tree seedlings. Journal of Ecology 98(2) 408-418"
Crawford et al. 2019,43,"Bonanomi, G., A. Esposito, and S. Mazzoleni. (2012) Plant-soil feedback in herbaceous species of Mediterranean coastal dunes. Biological Letters 49(1) 35-44"
Crawford et al. 2019,51,"Hendriks, M., L. Mommer, H. de Caluwe, A. E. Smit-Tiekstra, W. H. van der Putten, and H. de Kroon. (2013) Independent variations of plant and soil mixtures reveal soil feedback effects on plant community overyielding. Journal of Ecology 101(2) 287-297"
Crawford et al. 2019,53,"Kiers, E. T., C. E. Lovelock, E. L. Krueger, and E. A. Herre. (2000) Differential effects of tropical arbuscular mycorrhizal fungal inocula on root colonization and tree seedling growth: implications for tropical forest diversity. Ecology Letters 3(2) 106-113"
Crawford et al. 2019,67,"Callaway, R. M., D. Montesinos, K. Williams, J. L. Maron. (2013) Native congeners provide biotic resistance to invasive Potentilla through soil biota. Ecology 94(6) 1223-1229"
Crawford et al. 2019,75,"Markham, J. H., J. P. Grime, and S. Buckland. (2009) Reciprocal interactions between plants and soil in an upland grassland. Ecological Research 24(1) 93-98"
Crawford et al. 2019,77,"Petermann, J. S., A. J. F. Fergus, L. A. Turnbull, and B. Schmid. (2008) Janzen-Connell effects are widespread and strong enough to maintain diversity in grasslands. Ecology 89(9) 2399-2406"
