Pairwise comparison,Experiment,Study,Family A,Species A,Family B,Species B,Species pair,Origin,Phylogenetic distance,Mycorrhizal status,Nitrogen fixer,Ecosystem,Absolute latitude,Precipitation,Inoculant type,Fraction inoculum,Training environment,Testing environment,Testing community,AinA mean,AinA se,AinA N,AinB mean,AinB se,AinB N,BinB mean,BinB se,BinB N,BinA mean,BinA se,BinA N,rrIs,Variance(rrIs),AinR mean,AinR se,AinR N,BinR mean,BinR se,BinR N,author,year,who_entered,study_control_type,control_type,Study_sterilization_method
1,1,1,poaceae,anthoxanthum_odoratum,poaceae,danthonia_spicata,anthoxanthum_odoratum_danthonia_spicata,NativeNonNative,306.188416,same,same,Grassland,35.998224,1141,WholeSoil,0.033333333,Lab,Lab,Individual,2.429,0.135,9,2.581,0.179,6,1.066,0.162,8,1.862,0.157,6,-0.618435124,0.038103185,2.452941,0.13235300000000016,9,1.8,0.15882399999999985,9,Bever,1994,xinyi,CmS,CmS,pasteurization
2,1,1,poaceae,anthoxanthum_odoratum,poaceae,panicum_sphaerocarpon,anthoxanthum_odoratum_panicum_sphaerocarpon,NativeNonNative,306.188416,same,same,Grassland,35.998224,1141,WholeSoil,0.033333333,Lab,Lab,Individual,2.429,0.135,9,2.537,0.162,6,2.142,0.168,9,2.629,0.186,6,-0.248366204,0.018323364,2.452941,0.13235300000000016,9,2.594118,0.1411760000000002,9,Bever,1994,xinyi,CmS,CmS,pasteurization
3,1,1,poaceae,danthonia_spicata,poaceae,panicum_sphaerocarpon,danthonia_spicata_panicum_sphaerocarpon,NativeNative,204.125626,same,same,Grassland,35.998224,1141,WholeSoil,0.033333333,Lab,Lab,Individual,1.066,0.162,8,0.882,0.168,6,2.142,0.168,9,2.137,0.168,6,0.191813544,0.071707834,1.8,0.15882399999999985,9,2.594118,0.1411760000000002,9,Bever,1994,xinyi,CmS,CmS,pasteurization
7,3,6,rosaceae,fragaria_chiloensis,rosaceae,fragaria_vesca,fragaria_chiloensis_fragaria_vesca,NativeNative,166.049408,same,same,Grassland,38.3244,1041,WholeSoil,1,Field,Lab,Individual,1.433,0.1149012,7,1.443,0.196163561,7,0.853,0.068033605,7,1.022,0.075660426,8,-0.187711354,0.036751325,1.475,0.312,8,0.702,0.204,8,Burns and Strauss,2010,gaurav,GS,GS,not specified
8,3,6,polygonaceae,rumex_occidentalis,polygonaceae,rumex_salicifolius,rumex_occidentalis_rumex_salicifolius,NativeNative,72.222221,same,same,Grassland,38.3244,1041,WholeSoil,1,Field,Lab,Individual,0.313,0.03853732,8,0.251,0.051618795,8,0.179,0.122329473,2,0.163,0.043133514,8,0.314385856,0.594519556,0.129,0.037,7,0,0,7,Burns and Strauss,2010,gaurav,GS,GS,not specified
9,3,6,fabaceae,trifolium_barbigerum,fabaceae,trifolium_macraei,trifolium_barbigerum_trifolium_macraei,NativeNative,38.405987,same,same,Grassland,38.3244,1041,WholeSoil,1,Field,Lab,Individual,0.448,0.206691396,3,0.547,0.167257885,5,0.813,0.12410748,6,1.101,0.315575929,6,-0.502898597,0.411812586,0.009,0.008,9,0.008,0.003,8,Burns and Strauss,2010,gaurav,GS,GS,not specified
19,6,10,poaceae,bromus_inermis,poaceae,agropyron_cristatum,agropyron_cristatum_bromus_inermis,NonNativeNonNative,306.188416,same,same,Grassland,44.974069,738,WholeSoil,1,Lab,Lab,Community,0.029,0.003,32,0.024,0.003,32,0.012,0.002,32,0.009,0.002,32,0.476924072,0.10348704,0.026007333333333334,0.0016045426139557654,3,0.014641666666666666,0.0010384774110847735,3,Jordan et al,2008,xinyi,CS,CS,pasteurization
20,6,10,euphorbiaceae,euphorbia_esula,poaceae,agropyron_cristatum,agropyron_cristatum_euphorbia_esula,NonNativeNonNative,591.964294,same,same,Grassland,44.974069,738,WholeSoil,1,Lab,Lab,Community,0.013,0.003,32,0.008,0.002,32,0.012,0.002,32,0.005,0.002,32,1.360976553,0.303532216,0.004366,0.00156539909714211,3,0.014641666666666666,0.0010384774110847735,3,Jordan et al,2008,xinyi,CS,CS,pasteurization
21,6,10,euphorbiaceae,euphorbia_esula,poaceae,bromus_inermis,bromus_inermis_euphorbia_esula,NonNativeNonNative,591.964294,same,same,Grassland,44.974069,738,WholeSoil,1,Lab,Lab,Community,0.013,0.003,32,0.013,0.003,32,0.029,0.003,32,0.015,0.003,32,0.659245629,0.157210422,0.004366,0.00156539909714211,3,0.026007333333333334,0.0016045426139557654,3,Jordan et al,2008,xinyi,CS,CS,pasteurization
22,7,19,poaceae,panicum_maximum,asteraceae,chromolaena_odorata,chromolaena_odorata_panicum_maximum,NativeNonNative,591.964294,same,same,Grassland,28.071811,891,WholeSoil,0.2,Lab,Lab,Individual,7.889,0.224,6,10.414,0.307,6,4.675,0.32,6,4.658,0.649,6,-0.274038679,0.025773454,9.499669913887585,0.41582372707690896,2,5.203295298807065,0.308572643406861,2,teBeest et al,2009,gaurav,CS,CS,gamma irradiation
113,20,38,malvaceae,apeiba_membranacea,rhamnaceae,colubrina_spinosa,apeiba_membranacea_colubrina_spinosa,NativeNative,476.234222,same,different,Forest,10.427942,4036,OtherFraction,0.090661831,LabField,Lab,Individual,4.333459022,0.533993983,30,4.556675512,0.612483445,30,16.13,1.154547135,30,16.83209636,1.404578271,30,-0.092833899,0.045338531,4.433593999999999,0.5200596122806767,6,17.195768333333334,1.2841589515829244,6,McCarthy-Neuman & Kobe,2010,xinyi,CS,CS,autoclaving
114,20,38,malvaceae,apeiba_membranacea,arecaceae,iriartea_deltoidea,apeiba_membranacea_iriartea_deltoidea,NativeNative,591.964294,same,different,Forest,10.427942,4036,OtherFraction,0.090661831,LabField,Lab,Individual,4.333459022,0.533993983,30,4.23831562,0.564298652,30,179.6765574,11.97929974,30,166.4152648,12.71950779,30,0.098872214,0.043198431,4.433593999999999,0.5200596122806767,6,185.625,10.565088440235606,5,McCarthy-Neuman & Kobe,2010,xinyi,CS,CS,autoclaving
115,20,38,malvaceae,apeiba_membranacea,fabaceae,pentaclethra_macroloba,apeiba_membranacea_pentaclethra_macroloba,NativeNative,476.234222,same,same,Forest,10.427942,4036,OtherFraction,0.090661831,LabField,Lab,Individual,4.333459022,0.533993983,30,4.457550158,0.529402477,30,1451.326619,92.87634316,30,1847.289449,118.4077964,30,-0.269474604,0.037493621,4.433593999999999,0.5200596122806767,6,1726.1905,112.30929288168159,6,McCarthy-Neuman & Kobe,2010,xinyi,CS,CS,autoclaving
116,20,38,malvaceae,apeiba_membranacea,arecaceae,prestoea_decurrens,apeiba_membranacea_prestoea_decurrens,NativeNative,591.964294,same,same,Forest,10.427942,4036,OtherFraction,0.090661831,LabField,Lab,Individual,4.333459022,0.533993983,30,5.128806299,0.625094642,30,69.35,3.598950499,30,70.99198566,3.696427087,30,-0.191907714,0.035443371,4.433593999999999,0.5200596122806767,6,64.0625,3.8273277230987155,6,McCarthy-Neuman & Kobe,2010,xinyi,CS,CS,autoclaving
117,20,38,malvaceae,apeiba_membranacea,myristicaceae,virola_koschnyi,apeiba_membranacea_virola_koschnyi,NativeNative,603.571411,same,same,Forest,10.427942,4036,OtherFraction,0.090661831,LabField,Lab,Individual,4.333459022,0.533993983,30,4.495887031,0.606389133,30,630.1138383,37.75147902,30,722.5886446,36.95696842,30,-0.173736517,0.039581549,4.433593999999999,0.5200596122806767,6,729.1666666666666,37.285992352282165,6,McCarthy-Neuman & Kobe,2010,xinyi,CS,CS,autoclaving
118,20,38,rhamnaceae,colubrina_spinosa,arecaceae,iriartea_deltoidea,colubrina_spinosa_iriartea_deltoidea,NativeNative,591.964294,same,different,Forest,10.427942,4036,OtherFraction,0.090661831,LabField,Lab,Individual,16.13,1.154547135,30,16.13288986,1.608595894,30,179.6765574,11.97929974,30,141.5361593,22.6279663,30,0.238423959,0.045070074,17.195768333333334,1.2841589515829244,6,185.625,10.565088440235606,5,McCarthy-Neuman & Kobe,2010,xinyi,CS,CS,autoclaving
